DATAFLOW,LAST UPDATE,freq,age,indic_se,sex,sizeclas,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,O,EUR,BG,2018,603,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,O,EUR,CH,2018,7976,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,O,EUR,CY,2018,2202,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,O,EUR,CZ,2018,1345,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,O,EUR,DE,2018,3619,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,O,EUR,DK,2018,4855,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,O,EUR,EE,2018,1554,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,O,EUR,ES,2018,2247,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,O,EUR,EU27_2020,2018,2696,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,O,EUR,FI,2018,3649,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,O,EUR,FR,2018,2518,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,O,EUR,HR,2018,1282,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,O,EUR,HU,2018,869,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,O,EUR,IE,2018,4138,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,O,EUR,IS,2018,5863,
ESTAT:EARN_SES18_20(1.0),04/08/2021 23:00,A,TOTAL,ERN,T,GE10,O,EUR,IT,2018,2807,
